,LamS,LamS1H,LamS2H,LamSP,LamSPH,MDF,MS12,MS22,NSD,NSI,Omega,PSD,PSI,S,T,U,XU11,XU12,XU21,XU22,XV11,XV12,XV21,XV22,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,YRC,YRD,mCha,mChi1,mChi2,mS1,mS2,mh1,mh2,mn1,mn2,mn3,mueg,mv1,mv2,mv3,vS,vevSM
0,0.0001,0.0,0.0,0.1,0.0,678.2959796188783,8000000.0,7000000.0,5.287e-06,6.78e-06,0.787,6.9139999999999985e-06,1.799e-07,0.0008882160619999998,-0.00119977864,0.00017791112400000002,0.20881486600000002,-0.9779551890000001,0.9779551890000001,0.20881486600000002,0.132433146,-0.99119194,0.99119194,0.132433146,0.0,0.9900419461382081,0.0017191645700860136,0.0,0.0002779427359249101,0.25137319991223145,-1.0260729623343472e-10,-8.880738520799456e-11,1.0968504647504412e-10,-5.575668875495247e-10,-2.522807371233385e-09,-2.6035207313574004e-09,0.1,0.5,678.29598,430.184271,687.476804,2645.75131,2828.42712,124.861947,1949.882,0.0,9.399997434280584e-12,4.597063765352404e-11,0.0,3.13315703e-19,8.612877e-12,5.0171828e-11,6166.068338363987,244.874425
1,0.0001,0.0,0.0,0.1,0.0,186.3463036683082,8000000.0,7000000.0,2.569e-05,0.006714,0.0042,3.3600000000000004e-05,0.0001547,0.00529389455,-0.0038868698999999997,0.0024667948000000003,0.9921528490000001,-0.125030889,0.125030889,0.9921528490000001,0.962670227,-0.270676992,0.270676992,0.962670227,0.0,0.00960776837040119,0.023472824156174715,0.0,0.08672278511854238,0.03067845185076081,-1.578856987614373e-08,-8.680077430867928e-08,-1.0733546399723901e-07,-1.3506421918033158e-09,5.793273556479631e-09,1.4002420858715668e-08,0.1,0.5,186.3463,180.808869,403.417557,2645.75131,2828.42712,124.861947,1750.5267399999998,0.0,7.896595470119869e-12,5.6941747366885155e-11,0.0,3.4573300799999997e-19,9.00916904e-12,4.9909783700000006e-11,5535.651605397439,244.874425
2,0.0001,0.0,0.0,0.1,0.0,401.3863062233012,8000000.0,7000000.0,6.576e-05,0.003774,0.0276,8.601e-05,8.827e-05,0.00191662313,-0.00202544365,0.000512111967,0.872480026,-0.488649777,0.488649777,0.872480026,0.818085258,-0.5750969579999999,0.5750969579999999,0.818085258,0.0,0.00011694866329604764,0.002982597644959853,0.0,0.019687541710570185,0.009053617450533215,-4.7840329816511914e-08,-3.423500045575869e-07,-3.2959190243716804e-07,-5.635910290268902e-09,-3.697639327337224e-09,9.730592108009916e-09,0.1,0.5,401.38631000000004,376.36188,472.39568499999996,2645.75131,2828.42712,124.861947,1980.9065699999999,4.336808689942018e-19,7.986835550142385e-12,5.5056430901133457e-11,0.0,4.00242929e-19,8.79108241e-12,5.00196265e-11,6264.1765764560105,244.874425
3,0.0001,0.0,0.0,0.1,0.0,787.8247283988107,8000000.0,7000000.0,2.278e-05,0.001084,0.187,2.979e-05,2.588e-05,0.000542654588,-0.000609496578,0.00012871531600000001,0.640591834,-0.767881568,0.767881568,0.640591834,0.596910234,-0.802308028,0.802308028,0.596910234,0.0,0.1122454458956712,0.08451002910214886,0.0,0.017094435238004038,0.0012840652879979562,-1.2110266475457424e-09,-5.526829476487226e-09,-6.064408973776854e-09,4.334159993767284e-09,3.026075989871451e-08,4.04034002604035e-08,0.1,0.5,787.8247299999997,734.103401,823.145303,2645.75131,2828.42712,124.861947,3430.19752,6.133173666733497e-19,7.556256431075681e-12,5.7045620945805186e-11,0.0,5.03637184e-19,8.51362059e-12,5.0630800799999994e-11,10847.237069167872,244.874425
4,0.0001,0.0,0.0,0.1,0.0,584.3183113536061,8000000.0,7000000.0,3.563e-06,8.765000000000002e-07,0.392,4.66e-06,2.115e-08,0.00150077408,-0.00306616435,0.00032158522199999997,0.148039018,-0.9889815209999999,0.9889815209999999,0.148039018,0.0149286866,-0.9998885609999999,0.9998885609999999,0.0149286866,0.0,0.013466211782116922,0.0013623256471951227,0.0,0.02492041148330377,0.2878566058356229,-3.760022585661695e-08,-1.753396100978858e-08,8.328490943589691e-08,-2.901029807243793e-09,-1.3977013966263911e-08,-1.5347477052737295e-08,0.1,0.5,584.31831,58.9243637,590.762498,2645.75131,2828.42712,124.861947,266.423986,0.0,9.376587247857591e-12,4.599945369336816e-11,0.0,3.23804217e-19,8.503632259999999e-12,5.072159370000001e-11,842.5066175394438,244.874425
5,0.0001,0.0,0.0,0.1,0.0,195.95741999501988,8000000.0,7000000.0,0.00017769999999999998,0.0045579999999999996,0.0063,0.00023239999999999998,0.000106,0.006847163590000001,-0.00662766464,0.00236741324,0.9293544220000001,-0.369188784,0.369188784,0.9293544220000001,0.84386671,-0.536552864,0.536552864,0.84386671,0.0,0.33527816226663376,0.00033352168349914425,0.0,0.07528778322777169,0.44133309308010094,-7.615878780210914e-10,1.707025888684616e-10,2.466932206898728e-09,-1.0519271965352676e-09,-4.848356267662266e-09,-5.2757470580606435e-09,0.1,0.5,195.95741999999998,177.93205600000005,284.79065299999996,2645.75131,2828.42712,124.861947,1156.4669199999996,0.0,9.69812725228469e-12,4.5001794781602135e-11,0.0,1.63895569e-19,8.765965979999999e-12,4.9787225899999995e-11,3657.069517406808,244.874425
6,0.0001,0.0,0.0,0.1,0.0,100.29847162592172,8000000.0,7000000.0,7.436e-07,0.007222,0.00103,9.725e-07,0.0001657,0.0033614431200000004,-0.0010711386300000002,0.00931791536,0.999934935,-0.011407282099999999,0.011407282099999999,0.999934935,0.994999454,-0.09988035699999999,0.09988035699999999,0.994999454,0.0,0.0015286518661693,0.11744493230185035,0.0,0.1406029364100329,0.00031752050225824504,-4.0982395161373424e-09,-2.1336166455652576e-08,-1.809994688840888e-08,-2.1348843792652908e-09,-1.5650351089685433e-09,2.769918446033331e-09,0.1,0.5,100.29847,99.8034167,878.197534,2645.75131,2828.42712,124.861947,3908.0338100000004,0.0,8.180320941397817e-12,5.5291498237851283e-11,0.0,3.04504827e-19,8.944423050000003e-12,5.05680414e-11,12358.287941270288,244.874425
7,0.0001,0.0,0.0,0.1,0.0,585.1252110995571,8000000.0,7000000.0,1.397e-05,3.466e-05,0.396,1.826e-05,8.82e-07,0.00111994642,-0.0014247549,0.000239762658,0.3001672,-0.9538866029999999,0.9538866029999999,0.3001672,0.21848367,-0.975840605,0.975840605,0.21848367,0.0,0.0004525610046060945,0.0005303288912267883,0.0,0.07757123644837471,0.0013464551419113593,-3.0994432576893593e-07,-1.600167359477796e-06,-1.3521324136667624e-06,4.712295675407245e-10,7.461065538718228e-09,8.77230516854519e-09,0.1,0.5,585.1252099999998,425.89697699999994,598.592052,2645.75131,2828.42712,124.861947,1948.50575,6.133173666733497e-19,7.807364210640676e-12,5.5915044493881544e-11,0.0,3.47708816e-19,8.643301800000003e-12,5.05072106e-11,6161.716219617832,244.874425
8,0.0001,0.0,0.0,0.1,0.0,103.37647003457063,8000000.0,7000000.0,0.0012369999999999998,0.001333,0.000576,0.0016170000000000002,3.137e-05,0.0210025194,-0.0312931734,0.0171855096,0.795311083,-0.606201519,0.606201519,0.795311083,0.478281031,-0.8782068409999999,0.8782068409999999,0.478281031,0.0,0.0003533514529491893,0.4968808180758145,0.0,0.0037124205867308338,0.493216029094372,-2.0216252593569104e-07,-1.969358637906727e-07,2.736871591282268e-07,1.8408846481948896e-07,1.8728749652538764e-07,-2.3729919762914096e-07,0.1,0.5,103.37647,62.168132299999996,149.761953,2645.75131,2828.42712,124.861947,402.7751,3.0195991574284016e-18,1.5192236576927651e-12,2.995134982603564e-10,0.0,3.28008728e-19,4.67651019e-12,2.66601608e-11,1273.686727120258,244.874425
9,0.0001,0.0,0.0,0.1,0.0,264.4319001096011,8000000.0,7000000.0,7.209999999999999e-05,1.852e-05,0.0158,9.429e-05,4.3880000000000004e-07,0.00550884392,-0.013269766399999999,0.00306989684,0.316987643,-0.948429667,0.948429667,0.316987643,0.045278367,-0.998974409,0.998974409,0.045278367,0.0,0.004500422117298993,0.05335308100074552,0.0,0.057698121408032675,0.2618285465201051,1.4749237859501754e-07,-1.76896017369936e-07,-5.343804178437624e-07,-3.4572048211766153e-08,-6.357878157724057e-09,6.572108762917652e-08,0.1,0.5,264.4319,37.771329200000004,278.524291,2645.75131,2828.42712,124.861947,177.92070800000005,0.0,6.967681361808102e-12,6.276666619575428e-11,0.0,2.26908266e-19,8.86815269e-12,4.93155829e-11,562.634680468338,244.874425
